"asn","match_name","organization","comment"
"12912","src_asn_isp_","T-Mobile Polska",""
"12926","src_asn_isp_","Ar Telecom PT",""
"12929","src_asn_isp_","Telia Norge (mobile)",""
"12946","src_asn_isp_","R Cable y Telecable Telecomunicaciones S.A.U.",""
"12956","src_asn_isp_","Telxius Cable",""
"12958","src_asn_isp_","T2 Russia Network",""
"12975","src_asn_isp_","Palestinian Telecommunications",""
"12997","src_asn_isp_","Kyrgyztelecom",""
"13022","src_asn_isp_","Streams Telecommunicationsservices GmbH",""
"13036","src_asn_isp_","T-Mobile CZ AS13036",""
"13046","src_asn_isp_","ISKON INTERNET",""
"13056","src_asn_isp_","PJSC Rostelecom",""
"13099","src_asn_isp_","'AZ-EVRO TEL' LLC",""
"13118","src_asn_isp_","PJSC Rostelecom",""
"13122","src_asn_isp_","Manx Telecom",""
"13126","src_asn_isp_","Satellite Mediaport Services Ltd.",""
"13156","src_asn_isp_","Cabovisao televisao por cabovisao sa",""
"13208","src_asn_isp_","Newtel",""
"13259","src_asn_isp_","Delta Telesystems Ltd.",""
"13357","src_asn_isp_","Irati Telecomunicações Ltda.",""
"13370","src_asn_isp_","LocalTel Communications",""
"13388","src_asn_isp_","Egyptian Telephone",""
"13489","src_asn_isp_","TigoUne",""
"13585","src_asn_isp_","PowerVT SA",""
"13682","src_asn_isp_","TELECOMUNICACIONES DE GUATEMALA SOCIEDAD ANONIMA",""
"13765","src_asn_isp_","Nedelco",""
"14080","src_asn_isp_","Telmex Colombia",""
"14117","src_asn_isp_","Telefonica del Sur",""
"14155","src_asn_isp_","Rural Telephone Service Co",""
"14178","src_asn_isp_","Megacable Comunicaciones de Mexico",""
"14232","src_asn_isp_","Telpin - Cooperativa Telefonica Pinamar Ltda.",""
"14265","src_asn_isp_","TelePacific Communications",""
"14282","src_asn_isp_","PERSIS TELECOM",""
"14288","src_asn_isp_","Smart City Telecom AS14288",""
"14569","src_asn_isp_","Intellipop LLC",""
"14703","src_asn_isp_","MARQUETTE-ADAMS TELEPHONE COOPERATIVE INC.",""
"14750","src_asn_isp_","Sierra Tel Internet",""
"14754","src_asn_isp_","Telgua",""
"14813","src_asn_isp_","BB-COLUMBUS",""
"14860","src_asn_isp_","Smartcom Telephone",""
"14868","src_asn_isp_","Ligga Telecomunicações S.A.",""
"14988","src_asn_isp_","Botswana Telecommunications Corporation",""
"15129","src_asn_isp_","Geneseo Communications Services",""
"15165","src_asn_isp_","Mutual Telephone Company",""
"15311","src_asn_isp_","Telefonica Empresas Network",""
"15321","src_asn_isp_","Groupe Maskatel",""
"15335","src_asn_isp_","KAPLAN TELEPHONE COMPANY INC.",""
"15378","src_asn_isp_","T2 North-West",""
"15389","src_asn_isp_","Telefonverkid",""
"15397","src_asn_isp_","TelenorMontenegro",""
"15433","src_asn_isp_","Telecom Italia San Marino",""
"15466","src_asn_isp_","Defensie Telematica Organisatie",""
"15468","src_asn_isp_","PJSC Rostelecom",""
"15557","src_asn_isp_","SFR Group",""
"15595","src_asn_isp_","Skyline Telecom",""
"15599","src_asn_isp_","Avantel Neftejugansk",""
"15617","src_asn_isp_","Nova Telecommunications & Media Single Member S.A",""
"15659","src_asn_isp_","NextGenTel",""
"15672","src_asn_isp_","OOO Telecom TZ",""
"15673","src_asn_isp_","Teleseti Plus",""
"15706","src_asn_isp_","Sudatel Telecom Group",""
